hash,buggy_sha,tree,backport,buggy_tag,root cause,Trigger condition,discover,afterfix,consequence,visibility,Note (conseqeuce),Note (trigger),,discovery,hardware,
fe7a11c78d2a9bdb8b50afc278a31ac177000948,120455c514f7,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v5.11,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Hotplug/Hotunplug",Code Review or Internal Debug,no action,Functionality (hotplug),None,,,,,,
77baa5bafcbe1b2a15ef9c37232c21279c95481c,3dc167ba5729,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v5.9,semantic(generic wrong type integer overflow etc),Thread Behavior,Customizied test,comment,Functionality (Trace or account),None,,,,,,
d329605287020c3d1c3b0dadc63d8208e7251382,9059393e4ec1,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v4.15,semantic(incorrect update stats),"Thread Behavior, Property change (per thread)",Code Review or Internal Debug,no action,"""Performance (Policy violation, fairness)""",None,,,,,,
b58652db66c910c2245f5bee7deca41c12d707b9,feff2e65efd8,master;linux-6.12.y,,v5.10,memory,Thread Behavior,Benchmark/stress test regression,comment,Memory Leak,None,,,,,,
2feab2492deb2f14f9675dd6388e9e2bf669c27a,b0defa7ae03e,master;linux-6.12.y;linux-6.6.y;linux-6.1.y,linux-6.6.y;linux-6.1.y,v6.1,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Property change (per thread)",Customizied test,comment,"security vulnerability, ""Performance (Policy violation, sched overhead)""",None,,,,,,
49217ea147df7647cb89161b805c797487783fc0,f4183717b370,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,linux-6.6.y;linux-6.1.y;linux-5.15.y,v5.14,semantic(incorrect update stats),"Thread Behavior, Property change (per cgroup)",Customizied test,no action,Functionality (property change fail),None,,,,,,
a1fd0b9d751f840df23ef0e75b691fc00cfd4743,1d3504fcf560,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y;linux-5.4.y,linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y;linux-5.4.y,v2.6.26,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Property change (per system), Thread Behavior",Customizied test,no action,Functionality (config / feature not enabled/disabled),None,,,,,,
5097cbcb38e6e0d2627c9dde1985e91d2c9f880e,aae17ebb53cd,master;linux-6.12.y,,v6.9,semantic(incorrect logic implementation making decision  update attr managetimer etc),Boot,User reported or In-production,"comment, document, warning",Crash,Panic,,,,,,
cd18bec668bb6221a54f03d0b645b7aed841f825,4475cd8bfd9b,master;linux-6.12.y,,v6.10,semantic(incorrect logic implementation making decision  update attr managetimer etc),Thread Behavior,Code Review or Internal Debug,no action,"""Performance (Policy violation, fairness)"", ""Performance (Policy violation, balance, work conserving)""",None,,,,,,
1560d1f6eb6b398bddd80c16676776c0325fe5fe,eab03c23c2a1,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v6.7,semantic(generic wrong type integer overflow etc),"Thread Behavior, Property change (per thread)",Benchmark/stress test regression,no action,"""Performance (Policy violation, fairness)"", Crash",None,,,,,,
afae8002b4fd3560c8f5f1567f3c3202c30a70fa,eab03c23c2a1,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v6.7,semantic(incorrect update stats),"Thread Behavior, Property change (per thread)",Code Review or Internal Debug,no action,"""Performance (Policy violation, fairness)""",None,,,,,,
11b1b8bc2b98e21ddf47e08b56c21502c685b2c3,eab03c23c2a1,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v6.7,semantic(incorrect update stats),"Thread Behavior, Property change (per thread)",Code Review or Internal Debug,no action,"""Performance (Policy violation, fairness)""",None,,,,,,
be3a51e68f2f1b17250ce40d8872c7645b7a2991,2802bf3cd936,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,linux-6.6.y;linux-6.1.y;linux-5.15.y,v5.0,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Property change (per thread)",User reported or In-production,comment,"""Performance (Policy violation, sched overhead)""",None,,,,,,
23d04d8c6b8ec339057264659b7834027f3e6a63,9fe1f127b913,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,linux-6.6.y;linux-6.1.y;linux-5.15.y,v5.12,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Property change (per system), Thread Behavior",Code Review or Internal Debug,no action,"""Functionality (cpu allowed, or cpuiso)""",None,,,,,,
